Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
AMLH 64792,The Police,Reggatta De Blanc,A&M Records,"LP, Album, RE",,0,367741,Uncategorized,2020-03-07 19:01:36,,,
19075865601,System Of A Down,Hypnotize,"American Recordings, Columbia, Legacy","LP, Album, RE",,2018,12642716,Uncategorized,2025-10-23 14:14:08,,,
"203 000, 203-000, 203 000-320",The Alan Parsons Project,The Turn Of A Friendly Card,"Arista, Arista, Arista","LP, Album, RP",,1981,780154,Uncategorized,2020-03-07 19:00:45,,,
1C 064-60 792,The Alan Parsons Project,Pyramid,"Arista, EMI Electrola","LP, Album",,1978,721783,Uncategorized,2020-03-07 18:55:22,,,
"80147-1, 7 80147-1",Laura Branigan,Self Control,"Atlantic, Atlantic","LP, Album, SP ",,1984,6029951,Uncategorized,2019-08-27 09:21:02,,,
CBS 85529,Toto,Toto IV,CBS,"LP, Album",,1982,14796358,Uncategorized,2025-09-18 07:31:21,,,
0946 3 26000 1 1,Billy Idol,Cyberpunk,Chrysalis,"LP, Album",,1993,1011162,Uncategorized,2020-03-07 19:03:03,,,
"88883716861, 88883 71686 1",Daft Punk,Random Access Memories,"Columbia, Columbia, Sony Music","2xLP, Album, 180",,2013,4570366,Uncategorized,2020-03-07 18:54:23,,,
none,Alina Orlova,Laukinis Šuo Dingo,"Creative Industries (2), imuzika","LP, Album, Ltd, Num, RE, Sig + CD, Album, RP",,2018,12745081,Uncategorized,2020-03-07 18:56:43,,,
"00602577427664, 00622577427664",Billie Eilish,"When We All Fall Asleep, Where Do We Go?","Darkroom (4), Interscope Records","LP, Album, RE, Yel",,0,29322373,Uncategorized,2025-09-18 07:39:17,,,
602465270518,Billie Eilish,Hit Me Hard And Soft,"Darkroom (4), Interscope Records","LP, Album, Ltd, Red",,2024,30714356,Uncategorized,2025-09-18 07:41:03,,,
DRTV-02,Atlantida Project,Bezdna,Destroyed Room Tapes,"2xLP, Album, Ltd, 180",,2022,22005841,Uncategorized,2025-09-18 07:38:30,,,
"EJ 2403401, MRL 2",Marillion,Misplaced Childhood,"EMI, EMI","LP, Album, Pur",,1985,913326,Uncategorized,2025-09-18 07:32:52,,,
"1C 064-98 434, 1 C 064-98 434",Pink Floyd,Animals,"Harvest, Harvest, EMI Electrola, EMI Electrola","LP, Album, Gat",,1977,768254,Uncategorized,2020-03-07 18:54:50,,,
88843024681,Jean-Michel Jarre,Oxygene,"Les Disques Motors, Sony Music, BMG","LP, Album, RE, RM, 180",,2015,7597701,Uncategorized,2020-03-07 18:56:26,,,
none,Moby,All Visible Objects,Little Idiot Music,"2xLP, Album, Gat",,2020,15320911,Uncategorized,2025-09-18 07:34:48,,,
"811 039-1, mers 17",Tears For Fears,The Hurting,"Mercury, Mercury","LP, Album",,1983,612348,Uncategorized,2020-03-07 19:00:20,,,
39842-50424-7,Igorrr,Savage Sinusoid,Metal Blade Records,"LP, Album, Ltd, RP, Gol",,2023,26344547,Uncategorized,2025-10-23 14:07:24,,,
19658863871,"Akira Yamaoka, Marcin Przybyłowicz & P.T. Adamczyk",Cyberpunk: Edgerunners (Original Series Soundtrack),Milan,"LP, Comp, Pur",,2024,30171440,Uncategorized,2025-09-18 07:45:24,,,
MOSLP550,Various,[ Origins ] Jungle,Ministry Of Sound,"2xLP, Comp",,2020,15642972,Uncategorized,2025-09-18 07:31:59,,,
OITWGT001,Sick Sense Cru,Season Of The Sickness EP,Out In The West Grimetime,"12""",,2007,946467,Uncategorized,2025-09-18 07:40:28,,,
064-7 46446 1,The Beatles,Abbey Road,Parlophone,"LP, Album, RE, DMM",,0,1850509,Uncategorized,2020-03-07 18:58:29,,,
823 777-1,Deep Purple,Perfect Strangers,Polydor,"LP, Album",,1984,2160003,Uncategorized,2020-03-07 18:55:38,,,
